Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
I'm Not There,2007,80th Academy Awards,2/24/2008,Best Supporting Actress,,Cate Blanchett,5/14/1969,38,
Gone Baby Gone,2007,80th Academy Awards,2/24/2008,Best Supporting Actress,,Amy Ryan,11/30/1969,38,
Atonement,2007,80th Academy Awards,2/24/2008,Best Supporting Actress,,Saoirse Ronan,4/12/1994,13,
Crazy Heart,2009,81st Academy Awards,2/22/2009,Best Actor,X,Jeff Bridges,12/4/1949,59,
Milk,2008,81st Academy Awards,2/22/2009,Best Actor,X,Sean Penn,8/17/1960,48,
Frost/Nixon,2008,81st Academy Awards,2/22/2009,Best Actor,,Frank Langella,1/1/1938,71,
The Visitor,2008,81st Academy Awards,2/22/2009,Best Actor,,Richard Jenkins,5/4/1947,61,
The Wrestler,2008,81st Academy Awards,2/22/2009,Best Actor,,Mickey Rourke,9/16/1952,56,
The Curious Case of Benjamin Button,2008,81st Academy Awards,2/22/2009,Best Actor,,Brad Pitt,12/18/1963,45,
The Reader,2008,81st Academy Awards,2/22/2009,Best Actress,X,Kate Winslet,10/5/1975,33,
Doubt,2008,81st Academy Awards,2/22/2009,Best Actress,,Meryl Streep,6/22/1949,59,
Frozen River,2008,81st Academy Awards,2/22/2009,Best Actress,,Melissa Leo,9/14/1960,48,
Changeling,2008,81st Academy Awards,2/22/2009,Best Actress,,Angelina Jolie,6/4/1975,33,
Rachel Getting Married,2008,81st Academy Awards,2/22/2009,Best Actress,,Anne Hathaway,11/12/1982,26,
The Dark Knight,2008,81st Academy Awards,2/22/2009,Best Supporting Actor,X,Heath Ledger,4/4/1979,29,
Tropic Thunder,2008,81st Academy Awards,2/22/2009,Best Supporting Actor,,"Robert Downey, Jr.",4/4/1965,43,
Doubt,2008,81st Academy Awards,2/22/2009,Best Supporting Actor,,Philip Seymour Hoffman,7/23/1967,41,
Milk,2008,81st Academy Awards,2/22/2009,Best Supporting Actor,,Josh Brolin,2/12/1968,41,
Revolutionary Road,2008,81st Academy Awards,2/22/2009,Best Supporting Actor,,Michael Shannon,8/7/1974,34,
Vicky Cristina Barcelona,2008,81st Academy Awards,2/22/2009,Best Supporting Actress,X,Penélope Cruz,4/28/1974,34,
The Wrestler,2008,81st Academy Awards,2/22/2009,Best Supporting Actress,,Marisa Tomei,12/4/1964,44,
Doubt,2008,81st Academy Awards,2/22/2009,Best Supporting Actress,,Viola Davis,8/11/1965,43,
The Curious Case of Benjamin Button,2008,81st Academy Awards,2/22/2009,Best Supporting Actress,,Taraji P. Henson,9/11/1970,38,
Doubt,2008,81st Academy Awards,2/22/2009,Best Supporting Actress,,Amy Adams,8/20/1974,34,
Invictus,2009,82nd Academy Awards,3/7/2010,Best Actor,,Morgan Freeman,6/1/1937,72,
A Single Man,2009,82nd Academy Awards,3/7/2010,Best Actor,,Colin Firth,9/10/1960,49,
Up in the Air,2009,82nd Academy Awards,3/7/2010,Best Actor,,George Clooney,5/6/1961,48,
The Hurt Locker,2009,82nd Academy Awards,3/7/2010,Best Actor,,Jeremy Renner,1/7/1971,39,
The Blind Side,2009,82nd Academy Awards,3/7/2010,Best Actress,X,Sandra Bullock,7/26/1964,45,
The Last Station,2009,82nd Academy Awards,3/7/2010,Best Actress,,Helen Mirren,7/26/1945,64,
Julie & Julia,2009,82nd Academy Awards,3/7/2010,Best Actress,,Meryl Streep,6/22/1949,60,
Precious,2009,82nd Academy Awards,3/7/2010,Best Actress,,Gabourey Sidibe,5/6/1983,26,
An Education,2009,82nd Academy Awards,3/7/2010,Best Actress,,Carey Mulligan,5/28/1985,24,
Inglourious Basterds,2009,82nd Academy Awards,3/7/2010,Best Supporting Actor,X,Christoph Waltz,10/4/1956,53,
The Last Station,2009,82nd Academy Awards,3/7/2010,Best Supporting Actor,,Christopher Plummer,12/13/1929,80,
The Lovely Bones,2009,82nd Academy Awards,3/7/2010,Best Supporting Actor,,Stanley Tucci,11/11/1960,49,
The Messenger,2009,82nd Academy Awards,3/7/2010,Best Supporting Actor,,Woody Harrelson,7/23/1961,48,
Invictus,2009,82nd Academy Awards,3/7/2010,Best Supporting Actor,,Matt Damon,10/8/1970,39,
Precious,2009,82nd Academy Awards,3/7/2010,Best Supporting Actress,X,Mo'Nique,12/11/1967,42,
Up in the Air,2009,82nd Academy Awards,3/7/2010,Best Supporting Actress,,Vera Farmiga,8/6/1973,36,
Nine,2009,82nd Academy Awards,3/7/2010,Best Supporting Actress,,Penélope Cruz,4/28/1974,35,
Crazy Heart,2009,82nd Academy Awards,3/7/2010,Best Supporting Actress,,Maggie Gyllenhaal,11/16/1977,32,
Up in the Air,2009,82nd Academy Awards,3/7/2010,Best Supporting Actress,,Anna Kendrick,8/9/1985,24,
The King's Speech,2010,83rd Academy Awards,2/27/2011,Best Actor,X,Colin Firth,9/10/1960,50,
True Grit,2010,83rd Academy Awards,2/27/2011,Best Actor,,Jeff Bridges,12/4/1949,61,
Biutiful,2010,83rd Academy Awards,2/27/2011,Best Actor,,Javier Bardem,3/1/1969,42,
Aron Ralston,2010,83rd Academy Awards,2/27/2011,Best Actor,,James Franco,4/19/1978,32,
The Social Network,2010,83rd Academy Awards,2/27/2011,Best Actor,,Jesse Eisenberg,10/5/1983,27,
Black Swan,2010,83rd Academy Awards,2/27/2011,Best Actress,X,Natalie Portman,6/9/1981,29,
The Kids Are All Right,2010,83rd Academy Awards,2/27/2011,Best Actress,,Annette Bening,5/29/1958,52,
Rabbit Hole,2010,83rd Academy Awards,2/27/2011,Best Actress,,Nicole Kidman,6/20/1967,43,
Blue Valentine,2010,83rd Academy Awards,2/27/2011,Best Actress,,Michelle Williams,9/9/1980,30,
Winter's Bone,2010,83rd Academy Awards,2/27/2011,Best Actress,,Jennifer Lawrence,8/15/1990,20,
The Fighter,2010,83rd Academy Awards,2/27/2011,Best Supporting Actor,X,Christian Bale,1/30/1974,37,
The King's Speech,2010,83rd Academy Awards,2/27/2011,Best Supporting Actor,,Geoffrey Rush,7/6/1951,59,
Winter's Bone,2010,83rd Academy Awards,2/27/2011,Best Supporting Actor,,John Hawkes,9/11/1959,51,
The Kids Are All Right,2010,83rd Academy Awards,2/27/2011,Best Supporting Actor,,Mark Ruffalo,11/22/1967,43,
The Town,2010,83rd Academy Awards,2/27/2011,Best Supporting Actor,,Jeremy Renner,1/7/1971,40,
The Fighter,2010,83rd Academy Awards,2/27/2011,Best Supporting Actress,X,Melissa Leo,9/14/1960,50,
Animal Kingdom,2010,83rd Academy Awards,2/27/2011,Best Supporting Actress,,Jacki Weaver,5/25/1947,63,
The King's Speech,2010,83rd Academy Awards,2/27/2011,Best Supporting Actress,,Helena Bonham Carter,5/26/1966,44,
The Fighter,2010,83rd Academy Awards,2/27/2011,Best Supporting Actress,,Amy Adams,8/20/1974,36,
True Grit,2010,83rd Academy Awards,2/27/2011,Best Supporting Actress,,Hailee Steinfeld,12/11/1996,14,
The Artist,2011,84th Academy Awards,2/26/2012,Best Actor,X,Jean Dujardin,6/19/1972,39,
Tinker Tailor Soldier Spy,2011,84th Academy Awards,2/26/2012,Best Actor,,Gary Oldman,3/21/1958,53,
The Descendants,2011,84th Academy Awards,2/26/2012,Best Actor,,George Clooney,5/6/1961,50,
A Better Life,2011,84th Academy Awards,2/26/2012,Best Actor,,Demián Bichir,8/1/1963,48,
Moneyball,2011,84th Academy Awards,2/26/2012,Best Actor,,Brad Pitt,12/18/1963,48,
The Iron Lady,2011,84th Academy Awards,2/26/2012,Best Actress,X,Meryl Streep,6/22/1949,62,
Albert Nobbs,2011,84th Academy Awards,2/26/2012,Best Actress,,Glenn Close,3/19/1947,64,
The Help,2011,84th Academy Awards,2/26/2012,Best Actress,,Viola Davis,8/11/1965,46,
My Week with Marilyn,2011,84th Academy Awards,2/26/2012,Best Actress,,Michelle Williams,9/9/1980,31,
The Girl with the Dragon Tattoo,2011,84th Academy Awards,2/26/2012,Best Actress,,Rooney Mara,4/17/1985,26,
Beginners,2011,84th Academy Awards,2/26/2012,Best Supporting Actor,X,Christopher Plummer,12/13/1929,82,
Extremely Loud and Incredibly Close,2011,84th Academy Awards,2/26/2012,Best Supporting Actor,,Max von Sydow,4/10/1929,82,
Warrior,2011,84th Academy Awards,2/26/2012,Best Supporting Actor,,Nick Nolte,2/8/1941,71,
My Week with Marilyn,2011,84th Academy Awards,2/26/2012,Best Supporting Actor,,Kenneth Branagh,12/10/1960,51,
Moneyball,2011,84th Academy Awards,2/26/2012,Best Supporting Actor,,Jonah Hill,12/20/1983,28,
The Help,2011,84th Academy Awards,2/26/2012,Best Supporting Actress,X,Octavia Spencer,5/25/1970,41,
Albert Nobbs,2011,84th Academy Awards,2/26/2012,Best Supporting Actress,,Janet McTeer,8/5/1961,50,
Bridesmaids,2011,84th Academy Awards,2/26/2012,Best Supporting Actress,,Melissa McCarthy,8/26/1970,41,
The Artist,2011,84th Academy Awards,2/26/2012,Best Supporting Actress,,Berenice Bejo,7/7/1976,35,
The Help,2011,84th Academy Awards,2/26/2012,Best Supporting Actress,,Jessica Chastain,3/24/1977,34,
Flight,2012,85th Academy Awards,2/24/2013,Best Actor,,Denzel Washington,12/28/1954,58,
Lincoln,2012,85th Academy Awards,2/24/2013,Best Actor,,Daniel Day-Lewis,4/29/1957,55,
Les Misérables,2012,85th Academy Awards,2/24/2013,Best Actor,,Hugh Jackman,10/12/1968,44,
The Master,2012,85th Academy Awards,2/24/2013,Best Actor,,Joaquin Phoenix,10/28/1974,38,
Silver Linings Playbook,2012,85th Academy Awards,2/24/2013,Best Actor,,Bradley Cooper,1/5/1975,38,
Amour,2012,85th Academy Awards,2/24/2013,Best Actress,,Emmanuelle Riva,2/24/1927,86,
The Impossible,2012,85th Academy Awards,2/24/2013,Best Actress,,Naomi Watts,9/28/1968,44,
Zero Dark Thirty,2012,85th Academy Awards,2/24/2013,Best Actress,,Jessica Chastain,3/24/1977,35,
Silver Linings Playbook,2012,85th Academy Awards,2/24/2013,Best Actress,,Jennifer Lawrence,8/15/1990,22,
Beasts of the Southern Wild,2012,85th Academy Awards,2/24/2013,Best Actress,,Quvenzhane Wallis,8/28/2003,9,
Argo,2012,85th Academy Awards,2/24/2013,Best Supporting Actor,,Alan Arkin,3/26/1934,78,
Silver Linings Playbook,2012,85th Academy Awards,2/24/2013,Best Supporting Actor,,Robert De Niro,8/17/1943,69,
Lincoln,2012,85th Academy Awards,2/24/2013,Best Supporting Actor,,Tommy Lee Jones,9/15/1946,66,
Django Unchained,2012,85th Academy Awards,2/24/2013,Best Supporting Actor,,Christoph Waltz,10/4/1956,56,
The Master,2012,85th Academy Awards,2/24/2013,Best Supporting Actor,,Philip Seymour Hoffman,7/23/1967,45,
Lincoln,2012,85th Academy Awards,2/24/2013,Best Supporting Actress,,Sally Field,11/6/1946,66,
Silver Linings Playbook,2012,85th Academy Awards,2/24/2013,Best Supporting Actress,,Jacki Weaver,5/25/1947,65,
The Sessions,2012,85th Academy Awards,2/24/2013,Best Supporting Actress,,Helen Hunt,6/15/1963,49,
The Master,2012,85th Academy Awards,2/24/2013,Best Supporting Actress,,Amy Adams,8/20/1974,38,
Les Miserables,2012,85th Academy Awards,2/24/2013,Best Supporting Actress,,Anne Hathaway,11/12/1982,30,
